,gt_covid_symptoms,gt_loss_of_smell,gt_loss_of_taste,gt_fever,gt_cough,gt_pcr_test,gt_pcr_take,gt_antigen_test,gt_hospitalization,gt_hospital,gt_vaccine,gt_vaccination,gt_self_isolation,gt_lockdown,gt_qr_code
2021-09-06,5.88235294117647,0.0,0.0,0.0,0.0,34.45378151260505,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-07,5.88235294117647,0.0,0.0,0.0,0.0,33.61344537815126,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-08,5.88235294117647,0.0,0.0,0.0,0.0,32.77310924369748,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-09,5.88235294117647,0.0,0.0,0.0,0.0,31.932773109243698,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-10,5.88235294117647,0.0,0.0,0.0,0.0,31.09243697478992,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-11,5.88235294117647,0.0,0.0,0.0,0.0,30.252100840336137,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-12,5.88235294117647,0.0,0.0,0.0,0.0,29.411764705882355,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76470588235294
2021-09-13,5.7938965059708085,0.0,0.0,0.0,0.0,28.969482529854048,5.7938965059708085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.587793011941617
2021-09-14,5.705440070765148,0.0,0.0,0.0,0.0,28.52720035382574,5.705440070765148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.410880141530296
2021-09-15,5.616983635559486,0.0,0.0,0.0,0.0,28.084918177797434,5.616983635559486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.233967271118972
2021-09-16,5.5285272003538255,0.0,0.0,0.0,0.0,27.64263600176913,5.5285272003538255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.057054400707651
2021-09-17,5.440070765148164,0.0,0.0,0.0,0.0,27.200353825740823,5.440070765148164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.880141530296328
2021-09-18,5.351614329942503,0.0,0.0,0.0,0.0,26.758071649712516,5.351614329942503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.703228659885006
2021-09-19,5.263157894736842,0.0,0.0,0.0,0.0,26.31578947368421,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683
2021-09-20,5.160628844839371,0.0,0.0,0.0,0.0,26.452494873547504,5.160628844839371,0.0,0.0,0.0,0.0,0.0,0.0,0.6493506493506493,10.321257689678742
2021-09-21,5.0580997949419,0.0,0.0,0.0,0.0,26.589200273410796,5.0580997949419,0.0,0.0,0.0,0.0,0.0,0.0,1.2987012987012987,10.1161995898838
2021-09-22,4.9555707450444295,0.0,0.0,0.0,0.0,26.72590567327409,4.9555707450444295,0.0,0.0,0.0,0.0,0.0,0.0,1.948051948051948,9.911141490088859
2021-09-23,4.853041695146958,0.0,0.0,0.0,0.0,26.862611073137387,4.853041695146958,0.0,0.0,0.0,0.0,0.0,0.0,2.5974025974025974,9.706083390293916
2021-09-24,4.750512645249487,0.0,0.0,0.0,0.0,26.999316473000682,4.750512645249487,0.0,0.0,0.0,0.0,0.0,0.0,3.2467532467532467,9.501025290498974
2021-09-25,4.6479835953520166,0.0,0.0,0.0,0.0,27.136021872863974,4.6479835953520166,0.0,0.0,0.0,0.0,0.0,0.0,3.896103896103896,9.295967190704033
2021-09-26,4.545454545454546,0.0,0.0,0.0,0.0,27.27272727272727,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,9.090909090909092
2021-09-27,4.425204425204425,0.0,0.0,0.0,0.0,26.55122655122655,4.425204425204425,0.0,0.0,0.0,0.0,0.0,0.0,4.425204425204425,9.90860990860991
2021-09-28,4.304954304954305,0.0,0.0,0.0,0.0,25.829725829725827,4.304954304954305,0.0,0.0,0.0,0.0,0.0,0.0,4.304954304954305,10.726310726310727
2021-09-29,4.184704184704184,0.0,0.0,0.0,0.0,25.108225108225106,4.184704184704184,0.0,0.0,0.0,0.0,0.0,0.0,4.184704184704184,11.544011544011543
2021-09-30,4.064454064454065,0.0,0.0,0.0,0.0,24.386724386724385,4.064454064454065,0.0,0.0,0.0,0.0,0.0,0.0,4.064454064454065,12.36171236171236
2021-10-01,3.9442039442039443,0.0,0.0,0.0,0.0,23.665223665223664,3.9442039442039443,0.0,0.0,0.0,0.0,0.0,0.0,3.9442039442039443,13.179413179413178
2021-10-02,3.8239538239538238,0.0,0.0,0.0,0.0,22.943722943722943,3.8239538239538238,0.0,0.0,0.0,0.0,0.0,0.0,3.8239538239538238,13.997113997113996
2021-10-03,3.7037037037037033,0.0,0.0,0.0,0.0,22.22222222222222,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,14.814814814814813
2021-10-04,4.067460317460317,0.0,0.0,0.0,0.0,22.172619047619047,4.067460317460317,0.0,0.0,0.0,0.0,0.44642857142857145,0.0,4.067460317460317,16.71626984126984
2021-10-05,4.431216931216931,0.0,0.0,0.0,0.0,22.123015873015873,4.431216931216931,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,4.431216931216931,18.617724867724867
2021-10-06,4.794973544973544,0.0,0.0,0.0,0.0,22.0734126984127,4.794973544973544,0.0,0.0,0.0,0.0,1.3392857142857144,0.0,4.794973544973544,20.519179894179892
2021-10-07,5.158730158730158,0.0,0.0,0.0,0.0,22.023809523809522,5.158730158730158,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,5.158730158730158,22.42063492063492
2021-10-08,5.522486772486772,0.0,0.0,0.0,0.0,21.974206349206348,5.522486772486772,0.0,0.0,0.0,0.0,2.232142857142857,0.0,5.522486772486772,24.322089947089946
